strategy,period,n_seeds,in_sample,cagr_mean,cagr_ci_lo,cagr_ci_hi,ann_vol_mean,ann_vol_ci_lo,ann_vol_ci_hi,sharpe_mean,sharpe_ci_lo,sharpe_ci_hi,sortino_mean,sortino_ci_lo,sortino_ci_hi,max_drawdown_mean,max_drawdown_ci_lo,max_drawdown_ci_hi,calmar_mean,calmar_ci_lo,calmar_ci_hi,cvar_95_mean,cvar_95_ci_lo,cvar_95_ci_hi,ann_turnover_mean,ann_turnover_ci_lo,ann_turnover_ci_hi
equal_weight,gfc,1,False,0.04128926534231847,0.04128926534231847,0.04128926534231847,0.14682284347925184,0.14682284347925184,0.14682284347925184,0.3487258150870058,0.3487258150870058,0.3487258150870058,0.5030402428604552,0.5030402428604552,0.5030402428604552,-0.20812035084171077,-0.20812035084171077,-0.20812035084171077,0.19839129222745583,0.19839129222745583,0.19839129222745583,0.020723890952343556,0.020723890952343556,0.020723890952343556,2.4875773806934953,2.4875773806934953,2.4875773806934953
equal_weight,inflation_2022,1,False,-0.09424373439013989,-0.09424373439013989,-0.09424373439013989,0.12457788878747315,0.12457788878747315,0.12457788878747315,-0.7325001310456338,-0.7325001310456338,-0.7325001310456338,-1.238742824929523,-1.238742824929523,-1.238742824929523,-0.15884982104983658,-0.15884982104983658,-0.15884982104983658,-0.5932882628843027,-0.5932882628843027,-0.5932882628843027,0.01604053529526909,0.01604053529526909,0.01604053529526909,1.5835813258742717,1.5835813258742717,1.5835813258742717
equal_weight,recovery_2020_21,1,False,0.06679892081626715,0.06679892081626715,0.06679892081626715,0.07846705443877174,0.07846705443877174,0.07846705443877174,0.8633551264846642,0.8633551264846642,0.8633551264846642,1.1550690581859318,1.1550690581859318,1.1550690581859318,-0.05414881538338068,-0.05414881538338068,-0.05414881538338068,1.2336173994448831,1.2336173994448831,1.2336173994448831,0.011704100198974518,0.011704100198974518,0.011704100198974518,1.1032936198369245,1.1032936198369245,1.1032936198369245
equal_weight,val,1,False,0.08257794085693648,0.08257794085693648,0.08257794085693648,0.05558354630648683,0.05558354630648683,0.05558354630648683,1.4554820984970753,1.4554820984970753,1.4554820984970753,2.21502068258867,2.21502068258867,2.21502068258867,-0.06976947156757674,-0.06976947156757674,-0.06976947156757674,1.1835827189396702,1.1835827189396702,1.1835827189396702,0.007562876406344961,0.007562876406344961,0.007562876406344961,0.9560265829579089,0.9560265829579089,0.9560265829579089
inverse_vol,calm_2023_24,1,False,0.12356599509751809,0.12356599509751809,0.12356599509751809,0.07397219264130679,0.07397219264130679,0.07397219264130679,1.6122779314672273,1.6122779314672273,1.6122779314672273,2.602855444892257,2.602855444892257,2.602855444892257,-0.07228005762324052,-0.07228005762324052,-0.07228005762324052,1.7095447784727191,1.7095447784727191,1.7095447784727191,0.009432203620778639,0.009432203620778639,0.009432203620778639,2.5108429080930916,2.5108429080930916,2.5108429080930916
inverse_vol,covid_crash,1,False,0.18726408648722903,0.18726408648722903,0.18726408648722903,0.10766371083056221,0.10766371083056221,0.10766371083056221,1.6481600720693674,1.6481600720693674,1.6481600720693674,2.1017029252357218,2.1017029252357218,2.1017029252357218,-0.08107317372466438,-0.08107317372466438,-0.08107317372466438,2.3098156626161392,2.3098156626161392,2.3098156626161392,0.015766694159250912,0.015766694159250912,0.015766694159250912,5.477990274276414,5.477990274276414,5.477990274276414
inverse_vol,gfc,1,False,0.07243746645976845,0.07243746645976845,0.07243746645976845,0.08626831834726106,0.08626831834726106,0.08626831834726106,0.8537201068698682,0.8537201068698682,0.8537201068698682,1.384197389971024,1.384197389971024,1.384197389971024,-0.11848699540551832,-0.11848699540551832,-0.11848699540551832,0.6113537288362602,0.6113537288362602,0.6113537288362602,0.010701401598340344,0.010701401598340344,0.010701401598340344,3.058020362941469,3.058020362941469,3.058020362941469
inverse_vol,inflation_2022,1,False,-0.09738816495691727,-0.09738816495691727,-0.09738816495691727,0.1099788729105148,0.1099788729105148,0.1099788729105148,-0.8768280479599705,-0.8768280479599705,-0.8768280479599705,-1.5095234583311128,-1.5095234583311128,-1.5095234583311128,-0.16552276224201679,-0.16552276224201679,-0.16552276224201679,-0.588367204835082,-0.588367204835082,-0.588367204835082,0.013670635805190658,0.013670635805190658,0.013670635805190658,2.8955732472607583,2.8955732472607583,2.8955732472607583
inverse_vol,recovery_2020_21,1,False,0.026548035642856904,0.026548035642856904,0.026548035642856904,0.053661245359588265,0.053661245359588265,0.053661245359588265,0.5150910288802167,0.5150910288802167,0.5150910288802167,0.6957819482842726,0.6957819482842726,0.6957819482842726,-0.05523283325501649,-0.05523283325501649,-0.05523283325501649,0.480656777469327,0.480656777469327,0.480656777469327,0.0081774884346326,0.0081774884346326,0.0081774884346326,2.766574892378706,2.766574892378706,2.766574892378706
inverse_vol,val,1,False,0.061019472037238565,0.061019472037238565,0.061019472037238565,0.04383012313307965,0.04383012313307965,0.04383012313307965,1.3734139683587308,1.3734139683587308,1.3734139683587308,2.0480109690405666,2.0480109690405666,2.0480109690405666,-0.06961824819484363,-0.06961824819484363,-0.06961824819484363,0.8764867490842444,0.8764867490842444,0.8764867490842444,0.006030940375631288,0.006030940375631288,0.006030940375631288,2.4217246757406783,2.4217246757406783,2.4217246757406783
