strategy,kind,seed,period,in_sample,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,n_days,avg_daily_turnover,ann_turnover,avg_w_SPY,avg_w_IEF,avg_w_GLD
PPO,rl,0,recovery_2020_21,False,0.19539813186681076,0.13754598974735832,0.12851986673597823,1.0671827854517715,1.4783749786923353,-0.09135644122427711,1.5055970646852077,0.012834713688878372,0.019357417939004806,349,0.6878213040657508,173.3309686245692,0.4893062087982721,0.2441203324692246,0.2665734587325033
PPO,rl,1,recovery_2020_21,False,0.0006083742808637993,0.0004392474513974509,0.11712467373114574,0.06238994440451949,0.07431798533946678,-0.09126051564431703,0.004813116037053684,0.01245112714550916,0.01996312743676368,349,0.7574009613798385,190.8650422677193,0.38881374614086267,0.3704229471564148,0.2407633067027225
PPO,rl,2,recovery_2020_21,False,-0.0975859382440325,-0.07146085877208774,0.12700507054435234,-0.5200506184537674,-0.6229536372780305,-0.145847338186751,-0.48997026384249337,0.014251372498237706,0.02216694466287448,349,0.8079593706174177,203.60576139558927,0.4787906121286179,0.2828681685851231,0.238341219286259
PPO,rl,3,recovery_2020_21,False,0.16048551576427705,0.11345829667927276,0.10029608587581158,1.1217617230778691,1.5846232395628317,-0.10439507506522405,1.0868165630264282,0.009681252047858456,0.014399712292213901,349,0.8099265729571142,204.10149638519277,0.3106657622548559,0.47398317854262495,0.21535105920251904
PPO,rl,4,recovery_2020_21,False,0.024462423973827585,0.017603982416731334,0.11789880505575699,0.20695259844333092,0.2716572585232389,-0.07311644631144432,0.24076638437467288,0.011699088070063658,0.01822700153350327,349,0.8077977890280716,203.56504283507405,0.35486385933854164,0.30416027491920394,0.3409758657422544
static_60_30_10,baseline,-1,inflation_2022,False,-0.1087282646058102,-0.12352631622428978,0.16380820333161375,-0.723199185168554,-1.1732397214891621,-0.176487464548314,-0.6999155239746451,0.01679988971192693,0.02215926968786594,220,0.008514682813726146,2.145700069058989,0.599946701941039,0.3000042461014063,0.1000490519575546
equal_weight,baseline,-1,inflation_2022,False,-0.08278695348239762,-0.09424373439013989,0.12457788878747315,-0.7325001310456338,-1.238742824929523,-0.15884982104983658,-0.5932882628843027,0.012251876589544188,0.01604053529526909,220,0.006284052880453459,1.5835813258742717,0.33327205548520505,0.3332865552033713,0.3334413893114237
buy_and_hold,baseline,-1,inflation_2022,False,-0.0876175169102068,-0.09970571489219338,0.12382000355532316,-0.7865672018472617,-1.32633573606656,-0.16349466259050527,-0.6098407942644585,0.012401853522458556,0.015983833343483165,220,3.5577601470942514e-17,8.965555570677514e-15,0.32387393922440977,0.33098008967226356,0.34514597110332673
inverse_vol,baseline,-1,inflation_2022,False,-0.08556742766868675,-0.09738816495691727,0.1099788729105148,-0.8768280479599705,-1.5095234583311128,-0.16552276224201679,-0.588367204835082,0.010556176951956276,0.013670635805190658,220,0.011490370028812532,2.8955732472607583,0.19827890037233709,0.4773072895471065,0.3244138100805565
random,baseline,-1,inflation_2022,False,-0.10687963800597322,-0.12144364233194171,0.14691970557990502,-0.8081818286817151,-1.3957952321867957,-0.19270810188160736,-0.6301947927781061,0.013369521699717911,0.01851614198150095,220,0.9459657488639943,238.38336871372655,0.3002222333791855,0.3760491532081859,0.32372861341262854
