strategy,period,n_seeds,cagr_mean,cagr_ci_lo,cagr_ci_hi,ann_vol_mean,ann_vol_ci_lo,ann_vol_ci_hi,sharpe_mean,sharpe_ci_lo,sharpe_ci_hi,sortino_mean,sortino_ci_lo,sortino_ci_hi,max_drawdown_mean,max_drawdown_ci_lo,max_drawdown_ci_hi,calmar_mean,calmar_ci_lo,calmar_ci_hi,cvar_95_mean,cvar_95_ci_lo,cvar_95_ci_hi,ann_turnover_mean,ann_turnover_ci_lo,ann_turnover_ci_hi
inverse_vol,inflation_2022,1,0.021244958168542993,0.021244958168542993,0.021244958168542993,0.04691884851017173,0.04691884851017173,0.04691884851017173,0.47144228095521257,0.47144228095521257,0.47144228095521257,0.7280130897397509,0.7280130897397509,0.7280130897397509,-0.03408471048889872,-0.03408471048889872,-0.03408471048889872,0.6232987713204255,0.6232987713204255,0.6232987713204255,0.006082292584316929,0.006082292584316929,0.006082292584316929,2.4820475912779236,2.4820475912779236,2.4820475912779236
inverse_vol,recovery_2020_21,1,-0.0984985343551642,-0.0984985343551642,-0.0984985343551642,0.06895187076872493,0.06895187076872493,0.06895187076872493,-1.469125836519054,-1.469125836519054,-1.469125836519054,-2.136403211882273,-2.136403211882273,-2.136403211882273,-0.14662661863806292,-0.14662661863806292,-0.14662661863806292,-0.6717643444966881,-0.6717643444966881,-0.6717643444966881,0.010489971848219506,0.010489971848219506,0.010489971848219506,3.0186360081574413,3.0186360081574413,3.0186360081574413
inverse_vol,val,1,0.012281284285545313,0.012281284285545313,0.012281284285545313,0.07088268263465693,0.07088268263465693,0.07088268263465693,0.20764113680215085,0.20764113680215085,0.20764113680215085,0.293902462135652,0.293902462135652,0.293902462135652,-0.1517385186043987,-0.1517385186043987,-0.1517385186043987,0.0809371568834421,0.0809371568834421,0.0809371568834421,0.01064228897443536,0.01064228897443536,0.01064228897443536,2.6325654927455795,2.6325654927455795,2.6325654927455795
random,calm_2023_24,1,-0.0824884687635351,-0.0824884687635351,-0.0824884687635351,0.11687925083977958,0.11687925083977958,0.11687925083977958,-0.6775827068606053,-0.6775827068606053,-0.6775827068606053,-0.777686647304123,-0.777686647304123,-0.777686647304123,-0.2322581040221865,-0.2322581040221865,-0.2322581040221865,-0.3551586245432167,-0.3551586245432167,-0.3551586245432167,0.019395712211420876,0.019395712211420876,0.019395712211420876,251.134951687015,251.134951687015,251.134951687015
random,covid_crash,1,0.0018440330061515464,0.0018440330061515464,0.0018440330061515464,0.08441313296327738,0.08441313296327738,0.08441313296327738,0.06356632037568274,0.06356632037568274,0.06356632037568274,0.10537304766745377,0.10537304766745377,0.10537304766745377,-0.05055143833809683,-0.05055143833809683,-0.05055143833809683,0.03647834892092154,0.03647834892092154,0.03647834892092154,0.011071505692328919,0.011071505692328919,0.011071505692328919,212.3293115475045,212.3293115475045,212.3293115475045
random,gfc,1,-0.2583631762802726,-0.2583631762802726,-0.2583631762802726,0.1144709505159872,0.1144709505159872,0.1144709505159872,-2.5523195905351894,-2.5523195905351894,-2.5523195905351894,-3.6968399423822507,-3.6968399423822507,-3.6968399423822507,-0.4778228260502849,-0.4778228260502849,-0.4778228260502849,-0.5407091545121854,-0.5407091545121854,-0.5407091545121854,0.017471610976022248,0.017471610976022248,0.017471610976022248,251.00538996305391,251.00538996305391,251.00538996305391
random,inflation_2022,1,-0.19436385510517318,-0.19436385510517318,-0.19436385510517318,0.08044012338467758,0.08044012338467758,0.08044012338467758,-2.645488462588918,-2.645488462588918,-2.645488462588918,-3.687661340348986,-3.687661340348986,-3.687661340348986,-0.21886788711083816,-0.21886788711083816,-0.21886788711083816,-0.888041903592482,-0.888041903592482,-0.888041903592482,0.012015294581479026,0.012015294581479026,0.012015294581479026,238.86731320951566,238.86731320951566,238.86731320951566
random,recovery_2020_21,1,-0.27605562412855456,-0.27605562412855456,-0.27605562412855456,0.1546878980123979,0.1546878980123979,0.1546878980123979,-2.0095989331016724,-2.0095989331016724,-2.0095989331016724,-2.5929216235245938,-2.5929216235245938,-2.5929216235245938,-0.3858507807936672,-0.3858507807936672,-0.3858507807936672,-0.7154465867886235,-0.7154465867886235,-0.7154465867886235,0.025362823698245333,0.025362823698245333,0.025362823698245333,247.83306620855475,247.83306620855475,247.83306620855475
random,val,1,-0.11751070558730736,-0.11751070558730736,-0.11751070558730736,0.12306722167791519,0.12306722167791519,0.12306722167791519,-0.9542284757384489,-0.9542284757384489,-0.9542284757384489,-1.360551298348117,-1.360551298348117,-1.360551298348117,-0.4837057878338499,-0.4837057878338499,-0.4837057878338499,-0.2429383905318735,-0.2429383905318735,-0.2429383905318735,0.018443065354759355,0.018443065354759355,0.018443065354759355,253.5950503077397,253.5950503077397,253.5950503077397
static_60_30_10,calm_2023_24,1,0.07665124007783763,0.07665124007783763,0.07665124007783763,0.11428052718413369,0.11428052718413369,0.11428052718413369,0.7036035674040041,0.7036035674040041,0.7036035674040041,0.8369281017969488,0.8369281017969488,0.8369281017969488,-0.19470668391803936,-0.19470668391803936,-0.19470668391803936,0.39367544316097297,0.39367544316097297,0.39367544316097297,0.018291220812812644,0.018291220812812644,0.018291220812812644,1.4408020202874128,1.4408020202874128,1.4408020202874128
