strategy,kind,seed,period,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,n_days,avg_daily_turnover,ann_turnover,avg_w_SPY,avg_w_IEF,avg_w_GLD
buy_and_hold,baseline,-1,inflation_2022,-0.004150427846723703,-0.004566329910399625,0.06381298118405136,-0.03993746924831512,-0.06055599427798299,-0.057617193658365706,-0.07925290387232559,0.006891601586443473,0.008353360654275369,229,3.514898222066544e-17,8.85754351960769e-15,0.31075690388194266,0.3562784110669152,0.33296468505114213
inverse_vol,baseline,-1,inflation_2022,0.01928735993583497,0.021244958168542993,0.04691884851017173,0.47144228095521257,0.7280130897397509,-0.03408471048889872,0.6232987713204255,0.00497023484507299,0.006082292584316929,229,0.009849395203483824,2.4820475912779236,0.22818800477615425,0.5689883230119507,0.20282367221189496
random,baseline,-1,inflation_2022,-0.1783144938847634,-0.19436385510517318,0.08044012338467758,-2.645488462588918,-3.687661340348986,-0.21886788711083816,-0.888041903592482,0.010669929257843318,0.012015294581479026,229,0.947886163529824,238.86731320951566,0.3021637970477195,0.3690678495099031,0.32876835344237737
DQN,rl,0,inflation_2022,0.018001933061965403,0.0198278003890362,0.10575706744500091,0.23826996059942174,0.3976283602491301,-0.09802434425089057,0.2022742466737395,0.010450234923034813,0.01311514777100853,229,0.7205176364456862,181.57044438431294,0.4824268899448406,0.2185370065572928,0.2990361034978666
DQN,rl,1,inflation_2022,-0.03664147550878383,-0.040246599248959125,0.10594324459140939,-0.3349196824337961,-0.48277325052222564,-0.08603491123764428,-0.46779381381344837,0.011976087673557335,0.01511075513064619,229,0.8026983760235886,202.27999075794435,0.3525609277020016,0.24344025138061198,0.40399882091738637
DQN,rl,2,inflation_2022,-0.16990392733549298,-0.18528468559838984,0.10747867425985927,-1.8521630545262913,-2.5073645685928967,-0.24781258314082455,-0.7476806998662293,0.012228282055964974,0.01614076141965361,229,0.7110706186777518,179.18979590679345,0.444284740086913,0.2543442866380741,0.3013709732750129
PPO,rl,0,inflation_2022,-0.08308217154111686,-0.09103531725309255,0.10251192369704096,-0.8799360830621995,-1.4247500025624196,-0.17630474928867346,-0.5163520416800311,0.011024841547326615,0.013409421544884564,229,0.8452321101677416,212.99849176227087,0.3234455866057672,0.24754589428401166,0.42900851911022114
PPO,rl,1,inflation_2022,-0.09877984610179413,-0.10814498186745847,0.10997596563132933,-0.9856766655669603,-1.4450381221581738,-0.13898589688009821,-0.7781003993574549,0.011213795820698407,0.015349052529626888,229,0.695530151668742,175.27359822052298,0.3407339916212602,0.2134050407623992,0.4458609676163406
PPO,rl,2,inflation_2022,-0.03293733846302893,-0.03618490176983813,0.1049200398255143,-0.2990780235604307,-0.49290306714135784,-0.11353659146299833,-0.3187069587308407,0.010786633219817226,0.012971364163718925,229,0.8445115172910277,212.816902357339,0.23649737187947475,0.35050360632207017,0.4129990217984551
static_60_30_10,baseline,-1,calm_2023_24,0.1547698195993512,0.07665124007783763,0.11428052718413369,0.7036035674040041,0.8369281017969488,-0.19470668391803936,0.39367544316097297,0.009507389459232775,0.018291220812812644,491,0.00571746833447386,1.4408020202874128,0.6000650872156139,0.29993652510623836,0.0999983876781478
equal_weight,baseline,-1,calm_2023_24,0.12851113147424575,0.06401563878388061,0.0821261824260635,0.7966658227126407,1.0954477651784824,-0.1501338676837113,0.42639039259777867,0.00864470541761377,0.01224348141440067,491,0.005145897633798479,1.2967662037172167,0.3333940872426718,0.33327231012860026,0.33333360262872797
buy_and_hold,baseline,-1,calm_2023_24,0.11712873200075458,0.05849403574447454,0.07966373457499289,0.7534653715437346,1.0424567389967117,-0.14891281546344826,0.39280726485782097,0.008587894028969268,0.011991935938369757,491,2.837739095528659e-17,7.151102520732221e-15,0.33118984909506205,0.34112509319066037,0.3276850577142776
inverse_vol,baseline,-1,calm_2023_24,0.08939755725737486,0.04492587332653519,0.053885265848149504,0.8425062814614781,1.3655298306210362,-0.07332527031917269,0.6126929110657261,0.005757165417869215,0.0069575742998647695,491,0.010719793958565156,2.7013880775584194,0.2158639700754267,0.5670786062027141,0.21705742372185927
random,baseline,-1,calm_2023_24,-0.15442558753261548,-0.0824884687635351,0.11687925083977958,-0.6775827068606053,-0.777686647304123,-0.2322581040221865,-0.3551586245432167,0.009765755552474923,0.019395712211420876,491,0.9965672685992658,251.134951687015,0.3412132943632514,0.3243147731268461,0.3344719325099024
DQN,rl,0,calm_2023_24,-0.1506965047673774,-0.08041395943723406,0.15189326975828107,-0.47561836399505886,-0.5710648367748654,-0.32549726315428595,-0.2470495716552854,0.012998221949483591,0.025209299010517196,491,0.676644844554884,170.51450082783077,0.3742401070969705,0.24548542155395706,0.3802744713490725
